fold,train_size,test_size,accuracy,f1_macro,f1_weighted,f1_bear,f1_sideways,f1_bull,support_bear,support_sideways,support_bull,transition_acc
2016,1401,244,0.9262295081967213,0.9254672800879585,0.9255438255218464,0.9213483146067416,0.9108910891089109,0.9441624365482234,46,105,93,0.5
2017,1645,248,0.9919354838709677,0.9859330686330119,0.9920095877627944,,0.9767441860465116,0.9951219512195122,0,42,206,0.0
2018,1893,245,0.963265306122449,0.9250294598395864,0.9637905795229484,0.8333333333333334,0.9620253164556962,0.9797297297297297,17,80,148,0.25
2019,2138,241,0.9543568464730291,0.9404387113779952,0.9544063719969768,0.9047619047619048,0.9463414634146341,0.9702127659574468,21,102,118,0.2
2020,2379,250,0.976,0.9759618382490491,0.976,0.9770114942528736,0.9746835443037974,0.9761904761904762,87,79,84,0.0
2021,2629,248,0.9838709677419355,0.6625850340136055,0.9838709677419355,,0.3333333333333333,0.9918367346938776,0,3,245,0.0
2022,2877,248,0.9637096774193549,0.9609163991234775,0.9637320754282747,0.9791666666666666,0.957345971563981,0.946236559139785,96,106,46,0.25
2023,3125,245,0.9836734693877551,0.98,0.983603498542274,,0.9714285714285714,0.9885714285714285,0,71,174,0.5
2024,3370,246,0.991869918699187,0.8729338842975207,0.9928693811731506,,0.75,0.9958677685950413,0,3,243,1.0
